,Name,Team,Mins,PTS,FGM,FGA,FG%,2PM,2PA,2P%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TO,STL,BLK,BLKR,PF,FOULON,PLUSMINUS
0,L. Zolper,Hatters,29:00,12,2,8,25,1,5,20,1,3,33,7,7,100,0,3,3,1,3,2,0,0,1,4,5
1,G. Gayle,Hatters,23:55,16,4,7,57,3,6,50,1,1,100,7,11,63,0,2,2,2,1,1,0,0,4,7,12
2,N. Krisper,Hatters,33:37,15,6,10,60,5,7,71,1,3,33,2,2,100,4,1,5,5,5,2,0,0,3,3,10
3,M. Washington,Hatters,31:36,12,6,9,66,6,9,66,0,0,0,0,0,0,2,4,6,4,3,5,1,0,2,2,13
4,E. Gandini,Hatters,20:30,2,1,4,25,1,2,50,0,2,0,0,0,0,0,6,6,1,1,0,0,0,1,1,10
5,M. Emanuel-Carr,Hatters,11:01,7,2,4,50,2,4,50,0,0,0,3,3,100,0,1,1,3,2,1,0,0,1,2,7
6,C. Drennan,Hatters,18:13,9,3,3,100,1,1,100,2,2,100,1,1,100,0,0,0,1,1,0,0,0,3,4,-2
7,E. Nibbelink,Hatters,5:17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1
8,S. Harrison,Hatters,17:21,7,3,8,37,3,6,50,0,2,0,1,1,100,0,4,4,1,1,0,0,1,2,2,-2
9,L. Wright-Ponder,Hatters,9:30,6,3,6,50,3,6,50,0,0,0,0,2,0,3,1,4,0,3,0,0,0,5,1,-4
10,M. Domenger,Gladiators,22:47,8,2,6,33,2,4,50,0,2,0,4,4,100,2,3,5,3,4,0,0,0,4,3,-3
11,H. Robb,Gladiators,23:43,2,1,4,25,1,2,50,0,2,0,0,0,0,0,2,2,4,0,0,0,0,2,1,-15
12,E. Mcgarrachan,Gladiators,31:12,9,3,13,23,2,10,20,1,3,33,2,2,100,4,3,7,3,3,2,0,0,5,2,-10
13,K. Tudor,Gladiators,30:41,22,9,16,56,6,9,66,3,7,42,1,1,100,1,4,5,0,1,2,1,1,2,3,-9
14,K. Brown,Gladiators,21:17,2,1,1,100,1,1,100,0,0,0,0,0,0,4,0,4,1,6,1,0,0,4,1,-6
15,R. Lewis,Gladiators,15:48,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,2,1,0,0,0,1,2,0
16,T. Adams,Gladiators,21:36,9,4,10,40,3,9,33,1,1,100,0,1,0,0,3,3,2,1,1,0,0,5,2,0
17,E. Kerr,Gladiators,0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,D. Bryne,Gladiators,27:21,22,5,11,45,0,2,0,5,9,55,7,8,87,1,4,5,1,5,4,0,0,1,5,-4
19,A. Mcintosh,Gladiators,0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,K. Mcghee,Gladiators,5:35,2,0,1,0,0,1,0,0,0,0,2,2,100,0,0,0,0,0,0,0,0,2,1,-3
